config,n,storage_mode,gpu,image_load_ms_mean,image_load_ms_p50,image_load_ms_p95,image_load_ms_p99,image_load_ms_ci95_low,image_load_ms_ci95_high,ready_ms_mean,ready_ms_p50,ready_ms_p95,ready_ms_p99,ready_ms_ci95_low,ready_ms_ci95_high,app_init_ms_mean,app_init_ms_p50,app_init_ms_p95,app_init_ms_p99,app_init_ms_ci95_low,app_init_ms_ci95_high,runtime_sandbox_approx_ms_mean,runtime_sandbox_approx_ms_p50,runtime_sandbox_approx_ms_p95,runtime_sandbox_approx_ms_p99,runtime_sandbox_approx_ms_ci95_low,runtime_sandbox_approx_ms_ci95_high
crun_cpu,60,cached,False,,,,,,,1887.5655985166666,1926.7155125,2108.6080073,2134.72192332,1846.1514913541198,1928.9797056792133,2.5220584,2.3571165,3.6475799499999995,4.413714469999998,2.3299346629246136,2.7141821370753867,1885.0435401166667,1922.885272,2106.1838772,2131.83256141,1843.6400791063472,1926.4470011269862
runc_cpu,60,cached,False,,,,,,,1981.5438611,1956.34116,2244.5646523,2298.8809656799995,1939.5936265601254,2023.4940956398746,4.058585316666667,2.444906,4.0672935999999975,48.40542275999994,1.8207779877632015,6.2963926455701325,1977.4852757833335,1947.6892229999999,2241.12185355,2296.54336084,1935.4920457570768,2019.4785058095902
runsc_cpu,60,cached,False,,,,,,,2838.4841495333335,2902.9871785,3062.7093485,3159.67803603,2788.7497895660113,2888.2185095006557,4.7725701166666665,2.5405965000000004,5.65545835,57.28719229999997,2.225973457585305,7.3191667757480285,2833.7115794166666,2899.71865,3060.0831425499996,3122.27849487,2784.513406168856,2882.9097526644773
