config,n,storage_mode,gpu,image_load_ms_mean,image_load_ms_p50,image_load_ms_p95,image_load_ms_p99,image_load_ms_ci95_low,image_load_ms_ci95_high,ready_ms_mean,ready_ms_p50,ready_ms_p95,ready_ms_p99,ready_ms_ci95_low,ready_ms_ci95_high,app_init_ms_mean,app_init_ms_p50,app_init_ms_p95,app_init_ms_p99,app_init_ms_ci95_low,app_init_ms_ci95_high,runtime_sandbox_approx_ms_mean,runtime_sandbox_approx_ms_p50,runtime_sandbox_approx_ms_p95,runtime_sandbox_approx_ms_p99,runtime_sandbox_approx_ms_ci95_low,runtime_sandbox_approx_ms_ci95_high
crun_cpu,60,cold-image,False,2234.5881394666667,2255.889357,2434.5202954,2613.0692406099984,2195.582282350888,2273.5939965824455,1962.8976825833333,1971.4411835,2168.09882155,2225.54294777,1927.0994159183715,1998.6959492482952,6.373524616666667,2.445567,55.6135039,58.58261296,2.86462443915379,9.882424794179544,1956.5241579666667,1968.0949139999998,2140.352982,2221.97501122,1920.8700443605517,1992.1782715727818
runc_cpu,60,cold-image,False,2239.946526166667,2240.6752340000003,2441.8117745,2529.93327074,2199.211141612315,2280.681910721019,2188.9491993,2156.1902665,2405.9138430999997,2448.9114403299996,2149.2846130771013,2228.613785522899,6.7695017,3.3328179999999996,41.255810299999965,57.75436252,3.400489782121109,10.13851361787889,2182.1796976,2150.7106495,2403.76198405,2445.8512097599996,2142.452355238962,2221.907039961038
runsc_cpu,60,cold-image,False,2216.8336251,2192.1379355,2500.5862404000004,2547.42289624,2175.4841250158156,2258.1831251841845,2754.2586857833335,2729.6188975,3051.3418485499997,3160.88774746,2700.868493949348,2807.648877617319,3.0324826833333334,2.6978025,4.74355335,5.246003729999998,2.757879644600652,3.307085722066015,2751.2262031,2727.53567,3046.84956055,3157.1247631799997,2697.916728238588,2804.535677961412
