config,n,image_load_ms_mean,image_load_ms_p50,image_load_ms_p95,image_load_ms_p99,image_load_ms_ci95_low,image_load_ms_ci95_high,ready_ms_mean,ready_ms_p50,ready_ms_p95,ready_ms_p99,ready_ms_ci95_low,ready_ms_ci95_high,app_init_ms_mean,app_init_ms_p50,app_init_ms_p95,app_init_ms_p99,app_init_ms_ci95_low,app_init_ms_ci95_high,runtime_sandbox_approx_ms_mean,runtime_sandbox_approx_ms_p50,runtime_sandbox_approx_ms_p95,runtime_sandbox_approx_ms_p99,runtime_sandbox_approx_ms_ci95_low,runtime_sandbox_approx_ms_ci95_high
crun_cpu,5,1237.3267376,1266.896803,1292.7163446,1296.33871212,1166.5829818946936,1308.0704933053062,1647.2759247999998,1658.729807,1729.393884,1732.8897992,1577.9601501401492,1716.5916994598504,2.0629526,2.175578,2.3679134,2.37911148,1.7682059372299932,2.357699262770007,1645.2129722000002,1656.554229,1727.173588,1730.5402112000002,1575.8735329282881,1714.5524114717123
crun_gpu_optional,5,1194.2292075999999,1174.251069,1279.2284476,1281.11967272,1122.552997987538,1265.9054172124618,2280.6625524,2279.93201,2305.9097180000003,2306.0591428000002,2254.9266186308823,2306.398486169118,113.676945,118.216087,138.1660904,140.84862368,94.76125624835977,132.59263375164022,2166.9856074000004,2163.643337,2185.3531158,2186.15512396,2151.483848824939,2182.487365975062
runc_cpu,5,1326.9018449999999,1316.629519,1683.150201,1750.9107394,1080.7535217224568,1573.050168277543,1824.2441414,1788.713594,1956.9200642,1980.7856968400001,1738.504914802576,1909.983367997424,1.893592,1.668287,2.6085324,2.73549848,1.4344889407544594,2.3526950592455402,1822.3505494,1785.9463540000002,1955.2409845999998,1979.16554172,1736.5508558300583,1908.150242969942
runc_gpu,5,1234.3211378,1215.760944,1326.7487632,1329.06325184,1160.364477941603,1308.2777976583973,2425.0399196000003,2459.34511,2591.8986186,2617.83064612,2289.3660768028944,2560.713762397106,127.15426320000002,119.878803,151.6899876,155.48400632,111.21999329856287,143.08853310143718,2297.8856564000002,2326.6252160000004,2473.4413018,2498.2361403600003,2150.6204992264547,2445.1508135735457
runsc_cpu,5,1140.3311492,1191.008366,1220.7469762,1223.04631604,1058.110233672797,1222.552064727203,2378.7195798000002,2378.073686,2730.4940703999996,2766.22565008,2095.738809741902,2661.7003498580984,3.4209862,3.545412,5.4820776,5.67390752,1.8561304478105618,4.985841952189439,2375.2985935999995,2376.462053,2728.2270104,2764.40976368,2091.7860026817793,2658.8111845182198
